								
	Страницы							
	id	displayText	choices[1]		choices[2]		choices[3]	
			nextPageId	displayText	nextPageId	displayText	nextPageId	displayText
	1	Как-то тихим утром вы, плотно подзакусив и покуривая трубку, стояли у двери своего обиталища, добродушно наблюдая за странно одетым стариком в дорожном плаще и остроконечной шляпе, сжимавшем в руке посох.	101	Вы здороваетесь и предлагаете старику отдохнуть.				
	101	— Спасибо за приглашение, но мне некогда заниматься пустяками. Я должен найти того, кто согласится отправиться со мной навстречу приключениям, — отзывается странник.	102	Вы отвечаете, что в здешних краях никто не согласится на такое				
	102	Несмотря на ваш ответ, упрямый старик не желает уходить.>>Он признается, что пришел в Шир исключительно за вами, чтобы приключение пошло вам на пользу, а также принесло некоторую выгоду.	2	— Извините! Мне что-то не хочется, спасибо, как-нибудь в другой раз. Всего хорошего! Пожалуйста, заходите ко мне на чашку чая в любой день! Скажем, завтра? Приходите завтра! До свиданья!	16	— Спасибо за предложение, но не думаю. Не знаю, почему вы так думаете, но я — Бэггинс, поэтому предпочту остаться здесь. Прощайте! Надеюсь, в другом месте вы найдете более безрассудного тупицу!		
	2	Когда на следующий день вы собираетесь выпить чай, дверной колокольчик оповещает о посетителе. Но это не Гэндальф, а гном, который сразу шмыгнул внутрь, как будто только его и ждали.	201	Вы решаете проявить радушие и приглашаете его к столу.				
	201	Таким же способом внутри вашей норы оказывается еще дюжина гномов с наконец-таки присоединившимся волшебником.>>Гномы открывают вам историю о их потерянном доме, отобранном драконом наследии, богатстве и чести. Гэндальф предлагает ваши услуги в качестве взломщика, который мог бы сопровождать их в приключении, целью которого и будет исправление несправедливого захватничества. Вы нужны им, чтобы проникнуть в спрятанный в горе потайной ход.>>Возглавляющий отряд гномов нелестно отзывается о вашем характере, что вас задевает. Однако с подачи и рекомендации мага он оставляет вам договор, обещая четырнадцатую часть добычи и покрытие похоронных и путевых издержек.>>Вы задумываетесь о выборе.	3	Вы понимаете, что гномы считают вас никуда не годным. Но вы намерены доказать, на что способны.	16	При словах о том, что вы или гномы «могут не вернуться назад», вы почувствовали, что к горлу подкатывается крик. Тут уж никакими компенсациями и деньгами не изменить перспективу.		
	3	Вы выдвигаетесь в путь, держа его несколько дней. В один из привалов обнаруживается, что пропали ваши пони, поэтому вас, как взломщика, отправляют на разведку. >>Пони оказываются вероятным ужином озлобленных скудностью рациона троллей.	301	В попытке не спасти транспорт, так обчистить троллей, — как истинный взломщик, вы пытаетесь украсть их кошельки				
	301	Ваша попытка оканчивается неудачей, а появившихся на выручку товарищей поджидает та же участь, что и вас временем ранее, — теперь весь отряд оказывается схвачен, связан и обездвижен огромными великанами, жаждущими приготовить из вас замечательный ужин.>>У вас не так много вариантов для дальнейших действий.	4	Вы начинаете утверждать, что без должной обработки гномы окажутся невкусными и грозят несварением.	15	Вы решаете воспользоваться своими навыками и попытаться выскользнуть из мешка, чтобы незаметно помочь остальным.		
	4	Гэндальф, искусно подделывая голоса троллей, вступает в их разговор и тянет время до рассвета. С первыми лучами солнца тролли превращаются в камень, и отряд получает возможность продолжить путешествие.	401	Вперед				
	401	При переходе через Туманные горы на пути к цели отряд по неосторожности попадает в плен к гоблинам, которые отводят вас в подземелья, но Гэндальф и здесь вновь помогает спастись, вступая в сражение. Однако в хитросплетении пещер и гуще сражений вы отбиваетесь от группы и теряетесь, но находите золотое кольцо.	402	Как вор и взломщик, вы не можете отказать себе в желании его забрать				
	402	Там же вы встречаете и Голлума — скользкое существо, живущее у подземного озера.>>Он предлагает сыграть с ним в загадки, чтобы выбраться из пещер, а в случае проигрыша угрожает расправиться с вами. У вас нет выбора — и...	5	вы внимаете Голлуму				
	5	Первая загадка такова:>>Не увидать ее корней,>Вершина выше тополей,>Все вверх и вверх она идет,>Но не растет.	15	секвойя	6	гора	15	многоэтажка
	6	Затем он задал вторую загадку:>>Без голоса кричит,>Без зубов кусает,>Без крыльев летит,>Без горла завывает.	15	левиафан	15	холод	7	ветер
